section,instruction,example
Add trade data,Download Stats NZ monthly CSV. Open VTW_Trade_Monthly tab. Paste rows below the last data row. Do NOT edit row 1 (headers are sacred).,Paste 12 new rows for 2024-01 through 2024-12. Set series = nz_export.
Update keywords,"Open the _keywords tab. Add a new row with: term (the keyword), type (allow or block), language (ko or en). Save. Keywords take effect on the next scheduled build.","term=록용, type=allow, language=ko"
Check if build failed,Open the GitHub repository Actions tab at github.com/wkdjk/velvet-knowledge-hub/actions. A red X means the last build failed. You will also receive an alert email if ALERT_EMAIL is configured.,Look for a red circle icon on the most recent workflow run.
Row 1 is sacred,"Never edit, move, or delete row 1 in any data tab. Row 1 contains the column headers that all scripts depend on. Editing row 1 will break the pipeline.","If a header looks wrong, contact TechQ - do not edit it yourself."
Add a new source,Create a new Sheets tab with the correct headers (row 1). Then add one YAML block to config.yaml in the repo. No Python edits required. See config.yaml for the block format.,"id: my_new_source, tab: My_New_Tab, kind: records, section: import_intelligence, enabled: true"
Update import records,"Download the MFDS 수입식품 정보마루 CSV for the latest quarter. Open VFI_Import_Records tab. Paste rows below the last existing row. The build script deduplicates on (date, importer, product_name).",Paste Q3 2024 rows. Duplicates from earlier quarters are automatically skipped on the next build.
Source_Status freshness,"The Source_Status tab tracks when each source was last updated. After pasting new data into any source tab, update the last_updated cell in the corresponding Source_Status row to today's date (YYYY-MM-DD).",Find the nz_export row in Source_Status. Update last_updated to 2024-09-30.
Annual price data,"MFDS publishes annual deer velvet price rankings once per year. Download the annual report PDF, extract the ranking table, and paste into VFI_Price_Annual. Dedup key is (year, rank, product_name).","Paste 2024 annual rankings. Year column = 2024. Rank = 1, 2, 3 in order."
VTW_Trade_Monthly,"Written by ingest_nz_export.py/ingest_qia.py/ingest_kstat.py/ingest_mfds_annual.py, read by vkh_data.py/vkh_charts.py. Feeds Section 1 (Basic trade statistics), Section 2 (Trade triangulation), and the A3 import-price chart. Human-editable: paste new rows below existing data (see 'Add trade data' above) — no other column is hand-edited.","The series column tells sources apart in one tab: nz_export, qia, kstat, mfds_annual."
csv_request_log,"Written by the CSV-by-email Apps Script (vkh_csv_email.gs), not read by any Python script or rendered on the site. Supports the CSV-by-email request feature. Never hand-edited — it is a log, not a data source.","Each row records one request: requester email, timestamp, and which tab's CSV was sent."
VFI_Import_Records,"Written by ingest_vfi_records.py, read by vkh_render.py. Feeds Section 4 (Import records). See 'Update import records' above for the manual-paste workflow — importer_en/product_en are patched by the trust-pipeline backfill scripts afterwards, never typed in by hand.","Dedup key is (date, importer, product_name) — pasting the same MFDS quarter twice does not create duplicate rows."
VFI_Price_Annual,"Written by ingest_vfi_price.py, read by vkh_charts.py. Feeds the Section 4 annual price chart. Human-editable: paste MFDS annual ranking rows below existing data — see 'Annual price data' above.","Dedup key is (year, rank, product_name); re-pasting last year's rankings is safe."
KVN_Articles,"Written by collect_naver.py/classify_articles.py, read by vkh_render.py. Feeds Section 3 (News pulse). Only manual_override is hand-edited.","Set manual_override=TRUE on an article the dedup pass wrongly flagged as a duplicate, to keep it on the site."
_keywords,"Fully human-edited — feeds collect_naver.py's collection filter, not a display section itself. See 'Update keywords' above for the row format.","term=사슴농장, type=allow, language=ko."
README_Admin,This tab — the admin guide itself. Fully human-edited (and TechQ-appended when a new tab is added). Not read by any script; reference only.,You are reading it.
Source_Status,"Fully human-edited freshness tracker. Not read by any script — reference only, so the Commander can see at a glance which source was last updated when. See 'Source_Status freshness' above.",The nz_export row's last_updated cell shows the date of the most recent CSV paste.
raw_vfi,"Append-only machine audit trail written by ingest_vfi_records.py, backing Section 4's trust pipeline. Never hand-edited — hidden by default; if you unhide it, still don't type into it.","One row per raw MFDS import record exactly as collected, before any KR->EN mapping is applied."
map_companies,"Seeded by seed_map_companies.py, then corrected by the Commander; read by ingest_vfi_records.py/backfill_company_mapping.py. Feeds Section 4's trust pipeline (importer name KR->EN resolution). The tab you edit to resolve a company-name entry flagged in needs_review.",needs_review flags 마더스초이스 as unmapped — add a row here with canonical_name_en = Mothers Choice to resolve it.
needs_review,"Exceptions queue written by ingest_vfi_records.py and the backfill scripts, reviewed (not hand-edited) by the Commander. Feeds Section 4's trust pipeline. Fix the matching map_* tab instead of editing rows here.","A row here with field=importer_en means: add the missing name to map_companies, not to this tab."
review_view,"Generated by generate_review_view.py so the Commander can review the trust pipeline's output at a glance. Feeds Section 4's review workflow. Don't hand-edit — it is regenerated, not maintained.",Shows date/importer/product/country side-by-side in KO and EN so a mismatch is easy to spot.
weekly_brief,"Auto-drafted by vkh_brief.py, read by vkh_render.py. Feeds the weekly brief shown near the top of the site. Only the approved column is hand-edited — set TRUE to publish that week's draft.",Set approved=TRUE on the current week_ending_date row once draft_text has been read and looks right.
map_countries,"Seeded by seed_map_terms.py, then corrected by the Commander; read by ingest_vfi_records.py/backfill_term_mapping.py. Feeds Section 4's trust pipeline (country name KR->EN resolution). Same role as map_companies, for countries.",needs_review flags 베트남산 as unmapped — add a row here with canonical_name_en = Vietnam.
map_types,"Seeded by seed_map_terms.py, then corrected by the Commander; read by ingest_vfi_records.py/backfill_term_mapping.py. Feeds Section 4's trust pipeline (product-type name KR->EN resolution). Same role as map_companies, for product types.",needs_review flags 편록 as unmapped — add a row here with canonical_name_en = Sliced velvet.
library_curation,"drive_file_id/filename columns are written by ingest_library.py --sync (read-only, filled from the Library Drive folder — do not hand-edit these two). title/doc_date/category/tags/summary are Commander-edited. The same --sync step reads this tab and promotes/updates library_docs (sqlite, rebuilt fresh every build — see D1 addendum 2026-07-10). Feeds Section 6 (Reference library).",A row with drive_file_id+filename filled but title blank is still pending curation — fill in title (and optionally doc_date/category/tags/summary) to publish it.
