date,importer_ko,importer_en,product_name,product_en,country_origin_ko,country_origin_en,flags
2026-06-17,주식회사 이룡제약,Eryong Pharm.,생녹용(냉동),FROZEN DEER VELVET,뉴질랜드,,country_origin_en missing
2026-06-04,주식회사 비봉허브,Bibong Herb,녹용,DEER HORN,뉴질랜드,,country_origin_en missing
2026-06-04,(주)케이앤씨디어트레이드,KNC Deertrade,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,,country_origin_en missing
2026-05-29,(주)케이앤씨디어트레이드,KNC Deertrade,생녹용,FROZEN RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-05-27,(주)케이앤씨디어트레이드,KNC Deertrade,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-05-19,와이더블유 인터내셔날,YW International,냉동녹용,FROZEN WHOLE DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-05-13,주식회사 이룡제약,Eryong Pharm.,녹용,DEER HORN,중국,China,
2026-05-08,온바이오,OnBio,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-04-17,(주)온누리바이오생약,Onnuri Bio,녹용,DEER HORN,뉴질랜드,New Zealand,
2026-04-10,(주)우성생약,WooSung,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-04-07,(주)우성생약,WooSung (Mr Bang),녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-04-07,주식회사 가온제약,GaOn Pharm,냉동녹용,FROZEN RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-04-03,(주)케이앤씨디어트레이드,KNC Deertrade,생녹용,WHOLE FROZEN DEER VELVET,뉴질랜드,New Zealand,
2026-04-03,화용제약,HwaYong Pharm.,생녹용(냉동),FROZEN DEER HORN,뉴질랜드,New Zealand,
2026-03-25,온바이오,OnBio,생녹용(냉동),FROZEN DEER VELVET,뉴질랜드,New Zealand,
2026-03-17,(주)케이앤씨디어트레이드,KNC Deertrade,생녹용,FROZEN RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-03-16,(주)바이오닷,Bio Dot (Han Dong Herb),생녹용,FROZEN RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-03-12,와이더블유 인터내셔날,YW International,냉동녹용,FROZEN WHOLE DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-03-12,(주)한국인삼공사,KGC,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-03-11,유진통상,Yujin Trade,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-02-20,주식회사 이룡제약,Eryong Pharm.,생녹용(냉동),FROZEN DEER VELVET,뉴질랜드,New Zealand,
2026-02-05,화용제약,HwaYong Pharm.,생녹용(냉동),FROZEN DEER HORN,뉴질랜드,New Zealand,
2026-01-27,(주)케이앤씨디어트레이드,KNC Deertrade,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-01-15,와이더블유 인터내셔날,YW International,냉동녹용,FROZEN WHOLE DEER VELVET ANTLER,뉴질랜드,New Zealand,
2026-01-12,마더스초이스,Mothers Choice,마누카 허니 & 녹용분말(UMF 16+),MANUKA HONEY & DEER VELVET POWDER,뉴질랜드,,country_origin_en missing
2026-01-09,건향제약주식회사,Geonhyang Pharm.,녹용(건조),DEER HORNS VELVET ANTLER,러시아,Russia,
2026-01-09,(주)바이오닷,Bio Dot (Han Dong Herb),생녹용,FROZEN RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-12-15,화용제약,HwaYong Pharm.,녹용,DEER HORN,뉴질랜드,New Zealand,
2025-12-15,(주)용보제약,YongBo (Mr. Woljin Kim),녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-12-10,화용제약,HwaYong Pharm.,생녹용(냉동),FROZEN DEER HORN,뉴질랜드,New Zealand,
2025-12-10,(주)케이앤씨디어트레이드,KNC Deertrade,생녹용(냉동),FROZEN RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-12-08,유진통상,Yujin Trade,녹용(건조),DEER HORNS VELVET ANTLER,뉴질랜드,New Zealand,
2025-12-04,조은생약,JoEun Pharm,녹용,DEER HORN,러시아,Russia,
2025-11-28,(주)우성생약,WooSung (Mr Bang),녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-11-20,온바이오,OnBio,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-11-14,주식회사 이룡제약,Eryong Pharm.,생녹용(냉동),FROZEN DEER HORN,뉴질랜드,New Zealand,
2025-11-11,(주)대원알디티,DaeWon RTD,녹용(건조),DEER HORNS VELVET ANTLER,러시아,Russia,
2025-11-11,흥수녹용,Heungsoo Nogyong,녹용(건조),MARAL DEER HORNS,러시아,Russia,
2025-10-29,(주)엘지생활건강,LG H&H,녹용원 발효 진액,NOKYOUNGWON BALHYO JIN AEK,대한민국,,country_origin_en missing
2025-10-23,주식회사 이룡제약,Eryong Pharm.,녹용,DEER HORN,뉴질랜드,New Zealand,
2025-10-23,(주)케이앤씨디어트레이드,KNC Deertrade,생녹용,FROZEN RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-09-23,(주)한국인삼공사,KGC,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-09-23,온바이오,OnBio,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-09-09,(주)한국인삼공사,KGC,녹용(건조),DRIED RED DEER VELVET ANTLER,뉴질랜드,New Zealand,
2025-09-02,향나바이오 주식회사,Hyangna Bio,녹용,DEER HORN,뉴질랜드,New Zealand,
2025-08-29,유진통상,Yujin Trade,녹용(건조),DEER HORNS VELVET ANTLER,뉴질랜드,New Zealand,
2025-08-27,시베리안앤틀러팜스 주식회사,Siberian Antlers Pharms Inc.,녹용(건조),DEER HORN,러시아,Russia,
2025-08-25,마더스초이스,Mothers Choice,마누카 허니 & 녹용분말(UMF 25+),MANUKA HONEY & DEER VELVET POWDER,뉴질랜드,,country_origin_en missing
2025-08-21,아로하가든,Aloha Garden,아로하 마누카허니 녹용(UMF 15+),AROHA GARDEN MANUKA UMF15+ WITH  DEER VELVET,뉴질랜드,,country_origin_en missing
2025-08-19,(주)유앤젯인터내셔날,U&Jet International,프리미엄 마누카꿀&녹용,PREMIUM MANUKA HONEY&DEER VELVET,뉴질랜드,,country_origin_en missing
