기간,국가,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
"총계","","","",3748,683,225470,35054,-34371
"2024-01","뉴질랜드","0507901110","전지(全枝)",0,0,20336,2880,-2880
"2024-01","뉴질랜드","0507901190","기타",0,0,10,9,-9
"2024-01","러시아 연방","0507901110","전지(全枝)",0,0,7764,2061,-2061
"2024-01","호주","0507901190","기타",0,0,1,0,0
"2024-01","홍콩","0507901190","기타",52,13,0,0,13
"2024-02","뉴질랜드","0507901110","전지(全枝)",0,0,30526,4672,-4672
"2024-02","뉴질랜드","0507901190","기타",0,0,507,56,-56
"2024-02","러시아 연방","0507901110","전지(全枝)",0,0,1390,332,-332
"2024-02","중국","0507901190","기타",0,0,2,0,0
"2024-02","호주","0507901190","기타",0,0,1,1,-1
"2024-02","홍콩","0507901190","기타",619,101,0,0,101
"2024-03","뉴질랜드","0507901110","전지(全枝)",0,0,23573,2095,-2095
"2024-03","뉴질랜드","0507901190","기타",0,0,2007,116,-116
